scope,metric,route_top_rho_fraction,rho_threshold,pooled_value,all_group_head_value,routed_value,improvement_vs_pooled,all_group_head_improvement_vs_pooled
aggregate_region_rows,brier,0.25,0.017538693550339306,0.20116853230056678,0.214394287522222,0.2013657239899677,-0.0001971916894009107,-0.013225755221655228
aggregate_region_rows,brier,0.5,0.014767854956954984,0.20116853230056678,0.214394287522222,0.20182866231194163,-0.0006601300113748543,-0.013225755221655228
aggregate_region_rows,brier,0.75,0.00365394379513397,0.20116853230056678,0.214394287522222,0.2090509797907783,-0.007882447490211525,-0.013225755221655228
aggregate_region_rows,brier,1.0,-inf,0.20116853230056678,0.214394287522222,0.214394287522222,-0.013225755221655228,-0.013225755221655228
aggregate_region_rows,error_rate,0.0,inf,0.30562770562770564,0.32418058132343847,0.30562770562770564,0.0,-0.01855287569573283
aggregate_region_rows,error_rate,0.1,0.030675501507155332,0.30562770562770564,0.32418058132343847,0.3043908472479901,0.0012368583797155441,-0.01855287569573283
aggregate_region_rows,error_rate,0.25,0.017538693550339306,0.30562770562770564,0.32418058132343847,0.30550401978973407,0.00012368583797156552,-0.01855287569573283
aggregate_region_rows,error_rate,0.5,0.014767854956954984,0.30562770562770564,0.32418058132343847,0.30303030303030304,0.0025974025974025983,-0.01855287569573283
aggregate_region_rows,error_rate,0.75,0.00365394379513397,0.30562770562770564,0.32418058132343847,0.3162646876932591,-0.010636982065553469,-0.01855287569573283
aggregate_region_rows,error_rate,1.0,-inf,0.30562770562770564,0.32418058132343847,0.32418058132343847,-0.01855287569573283,-0.01855287569573283
aggregate_region_rows,calibration_abs_error,0.0,inf,0.028576107193661854,0.025195273722336424,0.028576107193661854,0.0,0.00338083347132543
aggregate_region_rows,calibration_abs_error,0.1,0.030675501507155332,0.028576107193661854,0.025195273722336424,0.02798865727649678,0.0005874499171650734,0.00338083347132543
aggregate_region_rows,calibration_abs_error,0.25,0.017538693550339306,0.028576107193661854,0.025195273722336424,0.02986028909211859,-0.001284181898456735,0.00338083347132543
aggregate_region_rows,calibration_abs_error,0.5,0.014767854956954984,0.028576107193661854,0.025195273722336424,0.02780062599781566,0.0007754811958461949,0.00338083347132543
aggregate_region_rows,calibration_abs_error,0.75,0.00365394379513397,0.028576107193661854,0.025195273722336424,0.02828215689770682,0.00029395029595503247,0.00338083347132543
aggregate_region_rows,calibration_abs_error,1.0,-inf,0.028576107193661854,0.025195273722336424,0.025195273722336424,0.00338083347132543,0.00338083347132543
aggregate_region_rows,pair_calibration_mae,0.0,inf,0.04369551283556631,0.04168614597842745,0.04369551283556631,0.0,0.0020093668571388584
aggregate_region_rows,pair_calibration_mae,0.1,0.030675501507155332,0.04369551283556631,0.04168614597842745,0.04282277243376658,0.0008727404017997292,0.0020093668571388584
aggregate_region_rows,pair_calibration_mae,0.25,0.017538693550339306,0.04369551283556631,0.04168614597842745,0.04320787331034625,0.00048763952522005993,0.0020093668571388584
aggregate_region_rows,pair_calibration_mae,0.5,0.014767854956954984,0.04369551283556631,0.04168614597842745,0.04339129291324093,0.0003042199223253772,0.0020093668571388584
aggregate_region_rows,pair_calibration_mae,0.75,0.00365394379513397,0.04369551283556631,0.04168614597842745,0.04196600799047199,0.0017295048450943207,0.0020093668571388584
aggregate_region_rows,pair_calibration_mae,1.0,-inf,0.04369551283556631,0.04168614597842745,0.04168614597842745,0.0020093668571388584,0.0020093668571388584
aggregate_region_rows,majority_edge_error,0.0,inf,0.014965986394557823,0.017810760667903526,0.014965986394557823,0.0,-0.0028447742733457033
aggregate_region_rows,majority_edge_error,0.1,0.030675501507155332,0.014965986394557823,0.017810760667903526,0.014965986394557823,0.0,-0.0028447742733457033
aggregate_region_rows,majority_edge_error,0.25,0.017538693550339306,0.014965986394557823,0.017810760667903526,0.017810760667903526,-0.0028447742733457033,-0.0028447742733457033
aggregate_region_rows,majority_edge_error,0.5,0.014767854956954984,0.014965986394557823,0.017810760667903526,0.017810760667903526,-0.0028447742733457033,-0.0028447742733457033
aggregate_region_rows,majority_edge_error,0.75,0.00365394379513397,0.014965986394557823,0.017810760667903526,0.017810760667903526,-0.0028447742733457033,-0.0028447742733457033
aggregate_region_rows,majority_edge_error,1.0,-inf,0.014965986394557823,0.017810760667903526,0.017810760667903526,-0.0028447742733457033,-0.0028447742733457033
