scope,outcome,n_regions,n_splits,mean_train_rho_cyc,mean_outcome,pearson_rho_cyc,pearson_p,spearman_rho_cyc,spearman_p,partial_beta_rho_cyc
group=expert,test_log_loss,80,1,0.02541712758201061,0.5957109906749352,0.24193345488965673,0.030611147031435654,0.09111579934364744,0.4215054848165658,0.030386423121847177
group=expert,test_brier,80,1,0.02541712758201061,0.20407579870845655,0.2396973809370378,0.03223363266656385,0.08661509610876701,0.44489494136213625,0.028796611799032264
group=expert,test_error_rate,80,1,0.02541712758201061,0.3152867386006308,0.32121884931886746,0.003669428821602204,0.1146038443506798,0.3114160945570071,0.13386928530029774
group=expert,test_calibration_abs_error,80,1,0.02541712758201061,0.041826297975364524,0.49192808736791793,3.5828052861475215e-06,0.3759728082512893,0.0005884256888842731,0.21497277706740622
group=expert,test_pair_calibration_mae,80,1,0.02541712758201061,0.06657010416767542,0.47266491392958054,9.553951392164962e-06,0.5715424285044538,3.076189127548456e-08,0.08970063543491814
group=expert,test_majority_edge_error,80,1,0.02541712758201061,0.10532475351604317,0.3774783291890668,0.000556923752150264,0.4118255858970922,0.00014741279336058012,0.15832327521712558
group=normal,test_log_loss,80,1,0.030607081560574,0.5799388895508726,0.3118383966071986,0.0048648369551512775,0.09664791373652133,0.393748557277113,0.2281073750879248
group=normal,test_brier,80,1,0.030607081560574,0.19671974284062982,0.3147553105437667,0.004460610880244206,0.09299109235818097,0.4119726613749697,0.24422557165326114
group=normal,test_error_rate,80,1,0.030607081560574,0.29260213027918897,0.3765133783575466,0.0005769321846608895,0.06224837229579638,0.5833238512554834,0.4119451400286582
group=normal,test_calibration_abs_error,80,1,0.030607081560574,0.05213766521938758,0.22264893692770826,0.04713517223152787,0.1324425691514299,0.2415481657571018,-0.09990045432465114
group=normal,test_pair_calibration_mae,80,1,0.030607081560574,0.0855195273425337,0.5517057274892743,1.131564416593249e-07,0.36094702297233944,0.0010046163069634348,0.15859007312940135
group=normal,test_majority_edge_error,80,1,0.030607081560574,0.11504011831856494,0.5927101835737321,6.9456835406455524e-09,0.3918725675369214,0.0003246924457254083,0.5490038591401614
aspect=harmless,test_log_loss,60,1,0.055048998984188593,0.6154432541763742,0.13067476281386753,0.3196462305155933,0.14348430119477637,0.27407963675219515,0.14059774240839656
aspect=harmless,test_brier,60,1,0.055048998984188593,0.21253711090184296,0.13454629363940024,0.3053928743177874,0.1420950263962212,0.2788010745718888,0.14643383680038466
aspect=harmless,test_error_rate,60,1,0.055048998984188593,0.3285221251573123,0.2524291719783263,0.05167702970259795,0.2598052157806385,0.044997569447559005,0.29332830549086575
aspect=harmless,test_calibration_abs_error,60,1,0.055048998984188593,0.09163859236447673,0.22124122920211103,0.0893569135657125,0.05479299805501529,0.6775496615978103,0.1530127392914168
aspect=harmless,test_pair_calibration_mae,60,1,0.055048998984188593,0.15334077698279366,0.3186462869334412,0.013088397980861186,0.30163934426229516,0.019171489396403712,0.1962002689114009
aspect=harmless,test_majority_edge_error,60,1,0.055048998984188593,0.192330614946767,0.48062707673966537,0.0001015956345941542,0.4759448053554101,0.00012127535121519665,0.4945235815464494
aspect=helpful,test_log_loss,60,1,0.005506432722275288,0.5693034151323135,-0.1052938478766566,0.4233198786839434,-0.2994165045846069,0.020121297993994723,0.09964473345363542
aspect=helpful,test_brier,60,1,0.005506432722275288,0.19208490866191186,-0.10153938177087142,0.44012997220065786,-0.30458460683523203,0.017971984399547038,0.10342988653853166
aspect=helpful,test_error_rate,60,1,0.005506432722275288,0.2832663655588074,-0.04745727308400391,0.7187928741131886,-0.3388163378716311,0.008095144823436835,0.1447336240451805
aspect=helpful,test_calibration_abs_error,60,1,0.005506432722275288,0.021809947164554214,-0.04152094044310395,0.7527691741361797,-0.018838566268407894,0.8863960927889016,0.026090605621846535
aspect=helpful,test_pair_calibration_mae,60,1,0.005506432722275288,0.03171047660285109,0.07406037883041967,0.5738607213250142,-0.001222561822728536,0.9926031474175256,0.14654002555086473
aspect=helpful,test_majority_edge_error,60,1,0.005506432722275288,0.017455269369694538,0.2591468134331235,0.0455634018268629,0.019147752649674357,0.8845442036968965,0.2876547644468161
aspect=overall,test_log_loss,60,1,0.005153745980512508,0.5670186998460515,-0.23936874918645668,0.06547263023870058,-0.31319811058627406,0.014824598404804412,-0.053385982732979106
aspect=overall,test_brier,60,1,0.005153745980512508,0.1911617097515091,-0.2371312332405041,0.06810861486045441,-0.31781050291747714,0.013342792801125348,-0.050913257389716686
aspect=overall,test_error_rate,60,1,0.005153745980512508,0.2859401136663376,-0.2421726273384775,0.062285742637893965,-0.42839677688246747,0.0006383399027238371,-0.0452387910763886
aspect=overall,test_calibration_abs_error,60,1,0.005153745980512508,0.02417356514130593,0.17978718452032533,0.1692678918198409,0.14176160044456795,0.27994218893527145,0.17268373227581407
aspect=overall,test_pair_calibration_mae,60,1,0.005153745980512508,0.03284699438464302,0.13712560391423947,0.29612849251681456,0.14187274242845235,0.27956147456553815,0.12741599181663238
aspect=overall,test_majority_edge_error,60,1,0.005153745980512508,0.03758971009218584,-0.16090089648850794,0.21939598993563325,-0.16068180523230932,0.22003261314792952,-0.02331584955793836
aspect=truthful,test_log_loss,60,1,0.039253884249831894,0.6001809683997312,0.4056423453299542,0.0013024388178427921,0.23801055848846905,0.06706273671068035,0.15256041630242798
aspect=truthful,test_brier,60,1,0.039253884249831894,0.20608878058469432,0.4128091508141281,0.0010460000619148375,0.24634620727980003,0.0577746730854171,0.16099068754363888
aspect=truthful,test_error_rate,60,1,0.039253884249831894,0.3195760071527736,0.5015895254315774,4.45250388974917e-05,0.29797165879410953,0.020759878830659766,0.2648133524806707
aspect=truthful,test_calibration_abs_error,60,1,0.039253884249831894,0.041667494922636425,-0.0590649635312792,0.6539492062439827,-0.11997777160322316,0.36119083852002687,-0.15855029036257104
