country,n_users,n,condorcet_3cycles,condorcet_3cycle_fraction,num_4subsets,odd_parity_4subsets,odd_parity_fraction,cohomology_class_nonzero,beta_1_acyclic_complex,num_acyclic_triples,hodge_n_edges,hodge_gradient_energy,hodge_cyclic_residual_energy,hodge_total_energy,hodge_rho_cyc
CZE,45074,20,0,0.0,4845,0,0.0,False,0,1140,190,1467317.6020607362,27079.364369082563,1494396.9664298182,0.018120596452879844
DEU,117911,20,0,0.0,4845,0,0.0,False,0,1140,190,3838045.524732696,74985.42635919197,3913030.951091879,0.019163003639996328
DNK,14935,20,0,0.0,4845,0,0.0,False,0,1140,190,498956.23770865065,9960.258371425964,508916.4960800761,0.01957149836592987
DOM,702,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,21865.162787295016,407.784631458494,22272.947418753487,0.018308516775608488
DZA,1044,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,34996.87187141966,652.0781726322646,35648.95004405184,0.018291651558502667
ECU,1447,20,0,0.0,4845,0,0.0,False,0,1140,190,42470.887106725204,674.7514404311358,43145.638547156326,0.01563892581387251
EGY,1414,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,43140.30320235722,735.6606768658767,43875.963879223054,0.01676682656797974
ESP,46025,20,0,0.0,4845,0,0.0,False,0,1140,190,1505233.071244946,28078.525444754945,1533311.5966896976,0.01831234140886584
EST,3091,20,0,0.0,4845,0,0.0,False,0,1140,190,95767.98745695045,1654.4231794846855,97422.41063643513,0.01698195690988112
FIN,22953,20,0,0.0,4845,0,0.0,False,0,1140,190,724364.772919698,13516.500085269923,737881.2730049669,0.018317987703123262
FRA,114080,20,0,0.0,4845,0,0.0,False,0,1140,190,3902919.4649324636,76710.90932155671,3979630.374254014,0.019275887986440515
GBR,96720,20,0,0.0,4845,0,0.0,False,0,1140,190,3083579.1385728,55744.607877955896,3139323.746450753,0.017756884087211287
GEO,703,20,0,0.0,4845,0,0.0,False,0,1140,190,22463.378985130905,455.4384128677979,22918.81739799878,0.019871811226506206
GRC,6683,20,0,0.0,4845,0,0.0,False,0,1140,190,219915.3639338385,4159.076143205702,224074.44007704468,0.018561135941143777
GTM,811,20,0,0.0,4845,0,0.0,False,0,1140,190,24802.91033543169,464.0625686501495,25266.972904081806,0.0183663698224484
HKG,7256,20,0,0.0,4845,0,0.0,False,0,1140,190,227096.61007311626,4137.421637464216,231234.03171058005,0.017892788560823717
HND,304,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,9382.185093088234,217.03133705853674,9599.216430146793,0.02260927635478033
HRV,3623,20,0,0.0,4845,0,0.0,False,0,1140,190,118880.69341229016,2281.6036163978556,121162.29702868799,0.01883097029645809
HUN,38879,20,0,0.0,4845,0,0.0,False,0,1140,190,1328242.6637685068,25929.045025692045,1354171.7087941987,0.01914753118626305
IDN,5966,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,183365.0641060303,3220.207748274246,186585.2718543042,0.017258638456677102
IND,8570,20,0,0.0,4845,0,0.0,False,0,1140,190,255607.19130763054,4291.341895074631,259898.53320270483,0.016511604902855102
IRL,7073,20,0,0.0,4845,0,0.0,False,0,1140,190,227770.15493016905,4033.5926794684274,231803.7476096372,0.01740089502893236
IRN,753,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,24795.708994339755,570.4881981490698,25366.197192488777,0.02249009553225416
IRQ,361,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,10796.883028315555,230.63232258359648,11027.515350899113,0.02091425994385872
ISL,973,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,32414.151767042895,665.6380513278204,33079.789818370715,0.020122197117412196
ISR,15268,20,0,0.0,4845,0,0.0,False,0,1140,190,457964.09362902684,7653.342294853164,465617.4359238796,0.016436975302841435
ITA,49069,20,0,0.0,4845,0,0.0,False,0,1140,190,1643373.844848325,31542.220186926184,1674916.0650352498,0.018832119916565703
JOR,1220,20,0,0.0,4845,0,0.0,False,0,1140,190,36297.1880177263,622.396748949398,36919.58476667575,0.01685817305050473
JPN,50671,20,0,0.0,4845,0,0.0,False,0,1140,190,1572337.7854551708,27664.621204076797,1600002.406659247,0.017290362245041636
KAZ,1696,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,53029.83634747012,968.6071143382851,53998.44346180857,0.017937685833913915
KEN,252,20,0,0.0,4845,0,0.0,False,0,1140,190,8549.979635130338,215.57277868719598,8765.552413817533,0.024593176620263994
KGZ,200,20,2,0.0017543859649122807,4845,32,0.006604747162022704,True,0,1138,190,6358.043350064245,116.06024965219937,6474.103599716442,0.01792684467657927
KHM,234,20,0,0.0,4845,0,0.0,False,0,1140,190,7146.277504824586,163.94436023853882,7310.2218650631185,0.02242672839001765
KOR,8423,20,0,0.0,4845,0,0.0,False,0,1140,190,278475.54963627976,5965.780122214886,284441.3297584945,0.02097367540532926
