scope,outcome,n_regions,n_splits,mean_train_rho_cyc,mean_outcome,pearson_rho_cyc,pearson_p,spearman_rho_cyc,spearman_p,partial_beta_rho_cyc
group=normal,test_log_loss,1600,20,0.02811243499159339,0.5983583189468898,0.19087002708167888,1.3635841554510724e-14,0.20023089755113188,6.217140506398653e-16,-0.018699413727490864
group=normal,test_brier,1600,20,0.02811243499159339,0.20476496525655086,0.19098666902371236,1.3133628019544412e-14,0.19200650566660377,9.450396491360632e-15,-0.013945237082305785
group=normal,test_error_rate,1600,20,0.02811243499159339,0.30592475866597474,0.16983874406070315,8.032037186866506e-12,0.11626002797045829,3.1226141959924104e-06,0.01512326044133284
group=normal,test_calibration_abs_error,1600,20,0.02811243499159339,0.03744400653872078,0.2164300743264824,2.051962664180019e-18,0.2371235027826183,6.912478697998696e-22,-0.037772327071296276
group=normal,test_pair_calibration_mae,1600,20,0.02811243499159339,0.06440888915965881,0.29482561329652446,1.876954185374751e-33,0.3494768074128154,3.579936931823825e-47,-0.04516777573191666
group=normal,test_majority_edge_error,1600,20,0.02811243499159339,0.0712869100856052,0.20694117244829952,6.174215954976072e-17,0.1775485009615442,8.471985846826135e-13,0.04576318103905997
aspect=harmless,test_log_loss,1200,20,0.06444437355340042,0.6381398817011014,-0.003616551102874328,0.9004041266104862,-0.04441332250925174,0.12412736546050462,-0.02580556238706168
aspect=harmless,test_brier,1200,20,0.06444437355340042,0.22286279903302367,0.0014491633131512374,0.9600042909314958,-0.042562092057008366,0.14060945013248355,-0.02646771409730469
aspect=harmless,test_error_rate,1200,20,0.06444437355340042,0.3463035695713871,0.015174841642353989,0.5994759077236833,-0.019143197575473146,0.5076447989083117,-0.021897627579589525
aspect=harmless,test_calibration_abs_error,1200,20,0.06444437355340042,0.07005337778003086,0.02487854734624473,0.3892087037844458,-0.03596399025277101,0.21315618158387656,0.01026479967961882
aspect=harmless,test_pair_calibration_mae,1200,20,0.06444437355340042,0.1205539531692506,0.023818459519665533,0.40973918282693517,-0.0424165989004159,0.14197288568955221,-0.017426599542339896
aspect=harmless,test_majority_edge_error,1200,20,0.06444437355340042,0.16600621722586217,0.04375572608922196,0.1298005920683469,0.03709512237741,0.19910154686826406,0.00042599393198467715
aspect=helpful,test_log_loss,1200,20,0.006323775878347074,0.5830256711095853,0.1836290060527778,1.4644013580732339e-10,-0.08374921093695203,0.003693283705407372,-0.009242784003816059
aspect=helpful,test_brier,1200,20,0.006323775878347074,0.1981007567998375,0.19112136439750177,2.466199704857867e-11,-0.08822365154420246,0.0022212300818939767,-0.0031329161622192744
aspect=helpful,test_error_rate,1200,20,0.006323775878347074,0.2939435168726038,0.25744587806424996,1.2799981730074105e-19,-0.1257322166797414,1.2521841502011721e-05,0.06481947749507223
aspect=helpful,test_calibration_abs_error,1200,20,0.006323775878347074,0.017366110626355333,0.08043300584901714,0.005305170461187048,0.03050179895958261,0.2910788889563352,0.05012122867142433
aspect=helpful,test_pair_calibration_mae,1200,20,0.006323775878347074,0.02990991224113756,0.003895161374007,0.8927761434446868,-0.056407421116264664,0.05075688893693643,-0.04473901771379127
aspect=helpful,test_majority_edge_error,1200,20,0.006323775878347074,0.028570848309118838,0.18296815305801326,1.707541126014859e-10,0.02635145974980807,0.36174324750327513,0.14509817019315577
aspect=overall,test_log_loss,1200,20,0.005550431871994383,0.5877923762430548,0.15075526069874912,1.5469093205368242e-07,-0.16550027465296852,8.072598418630794e-09,-0.011768830945916926
