split_index,group,aspect,model,fit_ok,n_train_obs,train_weight,n_features,n_iter
13,expert,helpful,group_head,True,8995,6492.5,30000,20
13,all,truthful,pooled,True,4503,3330.0,30000,20
13,normal,truthful,group_head,True,2027,1516.0,30000,20
13,expert,truthful,group_head,True,2476,1814.0,30000,20
13,all,harmless,pooled,True,1316,1003.5,30000,20
13,normal,harmless,group_head,True,594,457.0,30000,20
13,expert,harmless,group_head,True,722,546.5,30000,20
14,all,overall,pooled,True,18025,13187.5,30000,20
14,normal,overall,group_head,True,9069,6765.0,30000,20
14,expert,overall,group_head,True,8956,6422.5,30000,20
14,all,helpful,pooled,True,18047,13194.5,30000,20
14,normal,helpful,group_head,True,9043,6715.5,30000,20
14,expert,helpful,group_head,True,9004,6479.0,30000,20
14,all,truthful,pooled,True,4451,3291.5,30000,20
14,normal,truthful,group_head,True,2000,1491.0,30000,20
14,expert,truthful,group_head,True,2451,1800.5,30000,20
14,all,harmless,pooled,True,1298,1006.5,30000,20
14,normal,harmless,group_head,True,572,449.0,30000,20
14,expert,harmless,group_head,True,726,557.5,30000,20
15,all,overall,pooled,True,17996,13197.0,30000,20
15,normal,overall,group_head,True,9046,6764.0,30000,20
15,expert,overall,group_head,True,8950,6433.0,30000,20
15,all,helpful,pooled,True,18022,13212.5,30000,20
15,normal,helpful,group_head,True,9032,6726.5,30000,20
15,expert,helpful,group_head,True,8990,6486.0,30000,20
15,all,truthful,pooled,True,4506,3318.0,30000,20
15,normal,truthful,group_head,True,2010,1493.5,30000,20
15,expert,truthful,group_head,True,2496,1824.5,30000,20
15,all,harmless,pooled,True,1354,1039.0,30000,20
15,normal,harmless,group_head,True,592,457.0,30000,20
15,expert,harmless,group_head,True,762,582.0,30000,20
16,all,overall,pooled,True,18127,13284.5,30000,20
16,normal,overall,group_head,True,9133,6814.0,30000,20
16,expert,overall,group_head,True,8994,6470.5,30000,20
16,all,helpful,pooled,True,18165,13278.0,30000,20
16,normal,helpful,group_head,True,9107,6747.0,30000,20
16,expert,helpful,group_head,True,9058,6531.0,30000,20
16,all,truthful,pooled,True,4504,3304.5,30000,20
16,normal,truthful,group_head,True,2041,1514.0,30000,20
16,expert,truthful,group_head,True,2463,1790.5,30000,20
16,all,harmless,pooled,True,1341,1024.5,30000,20
16,normal,harmless,group_head,True,592,457.0,30000,20
16,expert,harmless,group_head,True,749,567.5,30000,20
17,all,overall,pooled,True,18051,13256.0,30000,20
17,normal,overall,group_head,True,9071,6783.0,30000,20
17,expert,overall,group_head,True,8980,6473.0,30000,20
17,all,helpful,pooled,True,18069,13239.0,30000,20
17,normal,helpful,group_head,True,9033,6709.5,30000,20
17,expert,helpful,group_head,True,9036,6529.5,30000,20
17,all,truthful,pooled,True,4497,3318.0,30000,20
17,normal,truthful,group_head,True,1991,1481.5,30000,20
17,expert,truthful,group_head,True,2506,1836.5,30000,20
17,all,harmless,pooled,True,1378,1050.0,30000,20
17,normal,harmless,group_head,True,609,471.0,30000,20
17,expert,harmless,group_head,True,769,579.0,30000,20
18,all,overall,pooled,True,17938,13121.0,30000,20
18,normal,overall,group_head,True,9020,6723.5,30000,20
18,expert,overall,group_head,True,8918,6397.5,30000,20
18,all,helpful,pooled,True,17951,13099.5,30000,20
18,normal,helpful,group_head,True,8990,6661.5,30000,20
18,expert,helpful,group_head,True,8961,6438.0,30000,20
18,all,truthful,pooled,True,4448,3257.5,30000,20
18,normal,truthful,group_head,True,1981,1467.0,30000,20
18,expert,truthful,group_head,True,2467,1790.5,30000,20
18,all,harmless,pooled,True,1322,1016.5,30000,20
18,normal,harmless,group_head,True,579,449.5,30000,20
18,expert,harmless,group_head,True,743,567.0,30000,20
19,all,overall,pooled,True,17942,13171.0,30000,20
19,normal,overall,group_head,True,9030,6762.0,30000,20
19,expert,overall,group_head,True,8912,6409.0,30000,20
19,all,helpful,pooled,True,17989,13163.0,30000,20
19,normal,helpful,group_head,True,9021,6706.0,30000,20
19,expert,helpful,group_head,True,8968,6457.0,30000,20
19,all,truthful,pooled,True,4396,3238.0,30000,20
19,normal,truthful,group_head,True,1981,1477.0,30000,20
19,expert,truthful,group_head,True,2415,1761.0,30000,20
19,all,harmless,pooled,True,1310,1001.0,30000,20
19,normal,harmless,group_head,True,580,447.5,30000,9
19,expert,harmless,group_head,True,730,553.5,30000,20
20,all,overall,pooled,True,17960,13183.5,30000,20
20,normal,overall,group_head,True,9027,6757.0,30000,20
20,expert,overall,group_head,True,8933,6426.5,30000,20
20,all,helpful,pooled,True,17990,13176.0,30000,20
20,normal,helpful,group_head,True,9007,6695.0,30000,20
20,expert,helpful,group_head,True,8983,6481.0,30000,20
20,all,truthful,pooled,True,4507,3315.0,30000,20
20,normal,truthful,group_head,True,2030,1509.5,30000,20
20,expert,truthful,group_head,True,2477,1805.5,30000,20
20,all,harmless,pooled,True,1290,991.0,30000,20
20,normal,harmless,group_head,True,570,441.0,30000,20
20,expert,harmless,group_head,True,720,550.0,30000,20
21,all,overall,pooled,True,17972,13199.5,30000,20
21,normal,overall,group_head,True,9045,6765.0,30000,20
21,expert,overall,group_head,True,8927,6434.5,30000,20
21,all,helpful,pooled,True,17999,13197.0,30000,20
21,normal,helpful,group_head,True,9019,6710.5,30000,20
21,expert,helpful,group_head,True,8980,6486.5,30000,20
21,all,truthful,pooled,True,4469,3301.0,30000,20
21,normal,truthful,group_head,True,2007,1500.5,30000,20
21,expert,truthful,group_head,True,2462,1800.5,30000,20
21,all,harmless,pooled,True,1353,1048.0,30000,20
21,normal,harmless,group_head,True,585,459.0,30000,15
21,expert,harmless,group_head,True,768,589.0,30000,20
22,all,overall,pooled,True,18013,13224.5,30000,20
22,normal,overall,group_head,True,9083,6791.0,30000,20
22,expert,overall,group_head,True,8930,6433.5,30000,20
22,all,helpful,pooled,True,18040,13224.0,30000,20
22,normal,helpful,group_head,True,9053,6745.5,30000,20
22,expert,helpful,group_head,True,8987,6478.5,30000,20
22,all,truthful,pooled,True,4462,3289.5,30000,20
22,normal,truthful,group_head,True,1989,1481.0,30000,20
22,expert,truthful,group_head,True,2473,1808.5,30000,20
22,all,harmless,pooled,True,1329,1017.5,30000,20
22,normal,harmless,group_head,True,580,445.0,30000,20
22,expert,harmless,group_head,True,749,572.5,30000,20
23,all,overall,pooled,True,18169,13322.0,30000,20
23,normal,overall,group_head,True,9114,6807.5,30000,20
23,expert,overall,group_head,True,9055,6514.5,30000,20
23,all,helpful,pooled,True,18162,13294.5,30000,20
23,normal,helpful,group_head,True,9074,6739.0,30000,20
23,expert,helpful,group_head,True,9088,6555.5,30000,20
23,all,truthful,pooled,True,4580,3380.5,30000,20
23,normal,truthful,group_head,True,2070,1545.5,30000,20
23,expert,truthful,group_head,True,2510,1835.0,30000,20
23,all,harmless,pooled,True,1358,1042.0,30000,20
23,normal,harmless,group_head,True,598,462.0,30000,16
23,expert,harmless,group_head,True,760,580.0,30000,20
24,all,overall,pooled,True,17871,13089.0,30000,20
24,normal,overall,group_head,True,9017,6723.5,30000,20
24,expert,overall,group_head,True,8854,6365.5,30000,20
24,all,helpful,pooled,True,17901,13098.5,30000,20
24,normal,helpful,group_head,True,8994,6675.5,30000,20
24,expert,helpful,group_head,True,8907,6423.0,30000,20
24,all,truthful,pooled,True,4409,3242.0,30000,20
24,normal,truthful,group_head,True,1978,1465.0,30000,20
24,expert,truthful,group_head,True,2431,1777.0,30000,20
24,all,harmless,pooled,True,1269,974.5,30000,20
24,normal,harmless,group_head,True,565,440.0,30000,19
24,expert,harmless,group_head,True,704,534.5,30000,20
25,all,overall,pooled,True,18033,13219.0,30000,20
25,normal,overall,group_head,True,9067,6779.5,30000,20
25,expert,overall,group_head,True,8966,6439.5,30000,20
25,all,helpful,pooled,True,18051,13209.0,30000,20
25,normal,helpful,group_head,True,9033,6722.0,30000,20
25,expert,helpful,group_head,True,9018,6487.0,30000,20
25,all,truthful,pooled,True,4461,3292.0,30000,20
25,normal,truthful,group_head,True,1997,1488.5,30000,20
25,expert,truthful,group_head,True,2464,1803.5,30000,20
25,all,harmless,pooled,True,1326,1019.0,30000,20
25,normal,harmless,group_head,True,577,449.5,30000,20
25,expert,harmless,group_head,True,749,569.5,30000,20
26,all,overall,pooled,True,17942,13146.5,30000,20
26,normal,overall,group_head,True,9032,6736.0,30000,20
26,expert,overall,group_head,True,8910,6410.5,30000,20
26,all,helpful,pooled,True,17992,13149.5,30000,20
26,normal,helpful,group_head,True,9020,6691.5,30000,20
26,expert,helpful,group_head,True,8972,6458.0,30000,20
26,all,truthful,pooled,True,4477,3282.5,30000,20
26,normal,truthful,group_head,True,2004,1481.0,30000,20
26,expert,truthful,group_head,True,2473,1801.5,30000,20
26,all,harmless,pooled,True,1373,1057.0,30000,20
26,normal,harmless,group_head,True,605,466.5,30000,20
26,expert,harmless,group_head,True,768,590.5,30000,20
27,all,overall,pooled,True,18022,13227.0,30000,20
27,normal,overall,group_head,True,9057,6785.5,30000,20
27,expert,overall,group_head,True,8965,6441.5,30000,20
27,all,helpful,pooled,True,18047,13228.0,30000,20
27,normal,helpful,group_head,True,9017,6722.5,30000,20
27,expert,helpful,group_head,True,9030,6505.5,30000,20
27,all,truthful,pooled,True,4520,3330.0,30000,20
27,normal,truthful,group_head,True,2030,1515.5,30000,20
27,expert,truthful,group_head,True,2490,1814.5,30000,20
27,all,harmless,pooled,True,1387,1066.0,30000,20
27,normal,harmless,group_head,True,613,473.5,30000,19
27,expert,harmless,group_head,True,774,592.5,30000,20
28,all,overall,pooled,True,17939,13162.0,30000,20
28,normal,overall,group_head,True,9044,6769.0,30000,20
28,expert,overall,group_head,True,8895,6393.0,30000,20
28,all,helpful,pooled,True,17961,13147.0,30000,20
28,normal,helpful,group_head,True,9003,6692.5,30000,20
28,expert,helpful,group_head,True,8958,6454.5,30000,20
28,all,truthful,pooled,True,4436,3261.5,30000,20
28,normal,truthful,group_head,True,1999,1487.0,30000,20
28,expert,truthful,group_head,True,2437,1774.5,30000,20
28,all,harmless,pooled,True,1342,1030.0,30000,20
28,normal,harmless,group_head,True,584,453.5,30000,20
28,expert,harmless,group_head,True,758,576.5,30000,20
29,all,overall,pooled,True,17982,13194.5,30000,20
29,normal,overall,group_head,True,9036,6770.0,30000,20
29,expert,overall,group_head,True,8946,6424.5,30000,20
29,all,helpful,pooled,True,17998,13173.5,30000,20
29,normal,helpful,group_head,True,8999,6700.0,30000,20
29,expert,helpful,group_head,True,8999,6473.5,30000,20
29,all,truthful,pooled,True,4499,3319.5,30000,20
29,normal,truthful,group_head,True,1991,1485.0,30000,20
29,expert,truthful,group_head,True,2508,1834.5,30000,20
29,all,harmless,pooled,True,1366,1050.0,30000,20
29,normal,harmless,group_head,True,594,462.0,30000,16
29,expert,harmless,group_head,True,772,588.0,30000,20
30,all,overall,pooled,True,18010,13171.0,30000,20
30,normal,overall,group_head,True,9035,6745.0,30000,20
30,expert,overall,group_head,True,8975,6426.0,30000,20
30,all,helpful,pooled,True,18023,13164.0,30000,20
30,normal,helpful,group_head,True,9011,6692.0,30000,20
30,expert,helpful,group_head,True,9012,6472.0,30000,20
30,all,truthful,pooled,True,4476,3288.5,30000,20
30,normal,truthful,group_head,True,2011,1493.5,30000,20
30,expert,truthful,group_head,True,2465,1795.0,30000,20
30,all,harmless,pooled,True,1331,1019.5,30000,20
30,normal,harmless,group_head,True,584,451.0,30000,12
30,expert,harmless,group_head,True,747,568.5,30000,20
31,all,overall,pooled,True,18073,13300.5,30000,20
31,normal,overall,group_head,True,9137,6858.0,30000,20
31,expert,overall,group_head,True,8936,6442.5,30000,20
31,all,helpful,pooled,True,18120,13277.0,30000,20
31,normal,helpful,group_head,True,9122,6789.5,30000,20
31,expert,helpful,group_head,True,8998,6487.5,30000,20
31,all,truthful,pooled,True,4482,3300.0,30000,20
31,normal,truthful,group_head,True,2008,1492.0,30000,20
31,expert,truthful,group_head,True,2474,1808.0,30000,20
31,all,harmless,pooled,True,1344,1042.0,30000,20
31,normal,harmless,group_head,True,602,468.0,30000,20
31,expert,harmless,group_head,True,742,574.0,30000,20
32,all,overall,pooled,True,18002,13222.5,30000,20
32,normal,overall,group_head,True,9033,6771.5,30000,20
32,expert,overall,group_head,True,8969,6451.0,30000,20
32,all,helpful,pooled,True,18030,13211.5,30000,20
32,normal,helpful,group_head,True,9015,6717.5,30000,20
32,expert,helpful,group_head,True,9015,6494.0,30000,20
32,all,truthful,pooled,True,4432,3252.0,30000,20
32,normal,truthful,group_head,True,1976,1462.5,30000,20
32,expert,truthful,group_head,True,2456,1789.5,30000,20
32,all,harmless,pooled,True,1362,1048.0,30000,20
32,normal,harmless,group_head,True,602,467.0,30000,20
32,expert,harmless,group_head,True,760,581.0,30000,18
33,all,overall,pooled,True,18016,13229.5,30000,20
33,normal,overall,group_head,True,9060,6769.5,30000,20
33,expert,overall,group_head,True,8956,6460.0,30000,20
33,all,helpful,pooled,True,18054,13221.0,30000,20
33,normal,helpful,group_head,True,9034,6709.0,30000,20
33,expert,helpful,group_head,True,9020,6512.0,30000,20
33,all,truthful,pooled,True,4550,3339.5,30000,20
33,normal,truthful,group_head,True,2047,1509.5,30000,20
33,expert,truthful,group_head,True,2503,1830.0,30000,20
33,all,harmless,pooled,True,1363,1037.0,30000,20
33,normal,harmless,group_head,True,597,457.5,30000,12
33,expert,harmless,group_head,True,766,579.5,30000,20
