rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
150,21,72,92,8,0.08695652173913043,0.08408159044677421,0.010510198805846777,376.8561451946338,77.357200718037,454.2133459126706,0.1703102769087505
151,21,81,127,7,0.05511811023622047,0.0852373625429281,0.012176766077561157,365.65432117921875,99.29873298832906,464.95305416754866,0.21356722382674395
152,21,76,101,6,0.0594059405940594,0.09806432681128685,0.01634405446854781,478.63134660634597,89.33916851673294,567.9705151230797,0.15729543372048646
153,21,85,152,8,0.05263157894736842,0.04461743612703847,0.005577179515879809,582.6739352343668,106.14304285516906,688.8169780895389,0.15409469602442288
154,21,80,109,15,0.13761467889908258,0.19295833093320824,0.01286388872888055,379.4877117346107,152.69720270122266,532.1849144358328,0.2869250866742369
155,20,68,71,7,0.09859154929577464,0.03167246891887173,0.004524638416981676,315.1130126593883,73.1423896762222,388.25540233561077,0.1883873070051898
156,20,80,114,6,0.05263157894736842,0.05086380117070861,0.0084773001951181,536.5465641526143,93.00493341285134,629.5514975654655,0.14773205015397486
157,20,70,87,10,0.11494252873563218,0.09586838710924594,0.009586838710924594,406.70681979647605,95.6630164618677,502.3698362583436,0.19042348795136063
158,21,72,95,7,0.07368421052631578,0.0873316327979937,0.012475947542570528,273.7916067992203,99.46740976879443,373.25901656801443,0.26648360884450245
159,21,89,152,5,0.03289473684210526,0.013033526227227398,0.00260670524544548,555.564571564693,75.68858270475457,631.2531542694479,0.11990210614052187
160,21,82,125,8,0.064,0.07108745959249654,0.008885932449062068,375.7702752268968,115.3182825806554,491.08855780755187,0.23482176635409702
161,20,77,106,6,0.05660377358490566,0.039918988098435346,0.006653164683072557,474.6823747012174,75.86028314605342,550.5426578472708,0.1377918351371389
162,20,68,80,4,0.05,0.022090432151652708,0.005522608037913177,362.72179344819426,89.54735157724092,452.269145025435,0.19799571242518632
163,21,71,90,9,0.1,0.059879605374213433,0.006653289486023715,377.86912990545864,98.27232114530295,476.1414510507622,0.20639312315370328
164,20,59,55,3,0.05454545454545454,0.0070303438277961134,0.0023434479425987046,304.31246546597515,78.56220963599556,382.87467510197064,0.20519040496755803
165,20,69,71,3,0.04225352112676056,0.030447550776583038,0.010149183592194345,397.58204813959225,92.70468608714323,490.28673422673586,0.18908259109509462
166,21,71,84,6,0.07142857142857142,0.01774723312864899,0.0029578721881081647,303.8952055016857,62.007187018241154,365.90239251992676,0.16946373755909314
167,20,80,108,9,0.08333333333333333,0.06778557218081208,0.007531730242312453,415.25659344136056,87.34523331289714,502.601826754258,0.17378614374914259
168,21,75,103,13,0.1262135922330097,0.1107220203169065,0.008517078485915885,303.72709717862904,122.30883638549238,426.03593356412176,0.28708572857290204
169,20,63,75,6,0.08,0.04985073502554851,0.008308455837591417,249.99225703042114,56.424250769526324,306.4165077999481,0.1841423335010539
170,20,80,141,6,0.0425531914893617,0.1105814379377136,0.0184302396562856,403.53368669243287,110.91718888630707,514.4508755787401,0.21560307145269977
171,20,75,103,12,0.11650485436893204,0.10938987181747983,0.009115822651456652,317.660533289051,106.0713551497667,423.73188843881775,0.2503265816046371
172,20,65,70,2,0.02857142857142857,0.009193861622980398,0.004596930811490199,386.2724936011077,66.99435675978617,453.2668503608945,0.14780334521804264
173,20,77,112,13,0.11607142857142858,0.15934672332360628,0.01225744025566202,521.3892979320937,117.05602707652653,638.4453250086199,0.1833454212777674
174,21,80,135,14,0.1037037037037037,0.1342629832420238,0.009590213088715984,507.09863392606906,88.13972154113151,595.2383554672003,0.14807466745309275
175,20,74,96,2,0.020833333333333332,0.019972172397029486,0.009986086198514743,458.9090053186174,110.04465534492567,568.9536606635428,0.19341584904574827
176,20,82,139,3,0.02158273381294964,0.003402195257398877,0.001134065085799626,439.8353767951756,79.75221717216328,519.5875939673385,0.1534913806605947
177,20,69,72,4,0.05555555555555555,0.0061831941633465285,0.0015457985408366321,345.2267747882666,77.96497960173035,423.19175438999685,0.1842308570357467
178,19,76,110,9,0.08181818181818182,0.0485773686165461,0.005397485401838455,333.9378381217417,111.79704388088805,445.7348820026293,0.250815110943524
179,21,86,150,9,0.06,0.07706747085051749,0.008563052316724166,424.49517998334034,102.74616870010345,527.241348683444,0.19487502062701897
180,20,79,122,6,0.04918032786885246,0.04131006995593378,0.006885011659322298,422.03739390173365,89.48774465523566,511.52513855696986,0.17494300457585268
181,20,80,122,10,0.08196721311475409,0.051495804956804225,0.005149580495680422,481.85745062856006,107.48911895447202,589.3465695830326,0.18238694259393318
182,21,79,117,4,0.03418803418803419,0.004683292023942264,0.0011708230059855659,466.49909468441217,108.78010592907982,575.279200613492,0.1890909767171732
183,21,77,94,9,0.09574468085106383,0.07688016271589734,0.008542240301766372,386.1234062865306,88.0019294672024,474.125335753733,0.18560900004911735
184,20,81,129,9,0.06976744186046512,0.09403423663468938,0.010448248514965487,420.4595036402682,97.36709644198285,517.8266000822508,0.18803031058373054
185,21,81,111,5,0.04504504504504504,0.010883624712248486,0.0021767249424496974,385.1839614149924,72.49998599401454,457.6839474090071,0.15840622421748446
186,20,83,130,13,0.1,0.1718013389353933,0.013215487610414868,469.9243436565598,122.99970452913574,592.9240481856948,0.2074459703658606
