attribute,conditioning,threshold,score_delta,n_min,tau,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean
choice_values,low_q25,50.0,5.0,100,0.0,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,5.0,100,0.05,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,5.0,100,0.1,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,10.0,10,0.0,21,202,1189,22,0.018502943650126155,0.25066884004922874,0.01139403818405585
choice_values,low_q25,50.0,10.0,10,0.05,21,202,1189,19,0.0159798149705635,0.23975616137712313,0.01261874533563806
choice_values,low_q25,50.0,10.0,10,0.1,21,202,1189,9,0.007569386038687973,0.15160718532264164,0.01684524281362685
choice_values,low_q25,50.0,10.0,25,0.0,21,41,24,1,0.041666666666666664,0.007407407407407407,0.007407407407407407
choice_values,low_q25,50.0,10.0,25,0.05,21,41,24,1,0.041666666666666664,0.007407407407407407,0.007407407407407407
choice_values,low_q25,50.0,10.0,25,0.1,21,41,24,0,0.0,0.0,0.0
choice_values,low_q25,50.0,10.0,50,0.0,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,10.0,50,0.05,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,10.0,50,0.1,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,10.0,100,0.0,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,10.0,100,0.05,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,10.0,100,0.1,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,0.0,10,0.0,21,199,1144,49,0.04283216783216783,0.16651357173904702,0.003398236157939735
choice_fluency,high_q75,100.0,0.0,10,0.05,21,199,1144,27,0.0236013986013986,0.14205410436230198,0.005261263124529705
choice_fluency,high_q75,100.0,0.0,10,0.1,21,199,1144,7,0.006118881118881119,0.08045391039711078,0.011493415771015827
choice_fluency,high_q75,100.0,0.0,25,0.0,21,105,275,11,0.04,0.009372143619443033,0.0008520130563130032
choice_fluency,high_q75,100.0,0.0,25,0.05,21,105,275,4,0.014545454545454545,0.0063917440318302385,0.0015979360079575598
choice_fluency,high_q75,100.0,0.0,25,0.1,21,105,275,0,0.0,0.0,0.0
choice_fluency,high_q75,100.0,0.0,50,0.0,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,0.0,50,0.05,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,0.0,50,0.1,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,0.0,100,0.0,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,0.0,100,0.05,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,0.0,100,0.1,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,2.0,10,0.0,21,198,1129,33,0.029229406554472984,0.16567842615222156,0.005020558368249138
choice_fluency,high_q75,100.0,2.0,10,0.05,21,198,1129,28,0.024800708591674048,0.15767635407846392,0.005631298359945141
choice_fluency,high_q75,100.0,2.0,10,0.1,21,198,1129,6,0.005314437555358724,0.07658797358712469,0.012764662264520783
choice_fluency,high_q75,100.0,2.0,25,0.0,21,99,235,8,0.03404255319148936,0.015537271284861199,0.0019421589106076499
choice_fluency,high_q75,100.0,2.0,25,0.05,21,99,235,6,0.02553191489361702,0.014881940454799186,0.0024803234091331974
choice_fluency,high_q75,100.0,2.0,25,0.1,21,99,235,0,0.0,0.0,0.0
choice_fluency,high_q75,100.0,2.0,50,0.0,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,2.0,50,0.05,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,2.0,50,0.1,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,2.0,100,0.0,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,2.0,100,0.05,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,2.0,100,0.1,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,5.0,10,0.0,21,197,1114,24,0.02154398563734291,0.20334895806233816,0.008472873252597423
choice_fluency,high_q75,100.0,5.0,10,0.05,21,197,1114,21,0.018850987432675045,0.19546855344280312,0.009308026354419196
choice_fluency,high_q75,100.0,5.0,10,0.1,21,197,1114,6,0.005385996409335727,0.12355990869034347,0.020593318115057248
choice_fluency,high_q75,100.0,5.0,25,0.0,21,87,173,2,0.011560693641618497,0.0033487145149676168,0.0016743572574838084
choice_fluency,high_q75,100.0,5.0,25,0.05,21,87,173,2,0.011560693641618497,0.0033487145149676168,0.0016743572574838084
choice_fluency,high_q75,100.0,5.0,25,0.1,21,87,173,0,0.0,0.0,0.0
choice_fluency,high_q75,100.0,5.0,50,0.0,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,5.0,50,0.05,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,5.0,50,0.1,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,5.0,100,0.0,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,5.0,100,0.05,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,5.0,100,0.1,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,10.0,10,0.0,21,194,1071,28,0.026143790849673203,0.18308937609606457,0.006538906289145162
choice_fluency,high_q75,100.0,10.0,10,0.05,21,194,1071,24,0.022408963585434174,0.16683313500186653,0.006951380625077772
choice_fluency,high_q75,100.0,10.0,10,0.1,21,194,1071,4,0.003734827264239029,0.07416367429294482,0.018540918573236205
