attribute,conditioning,threshold,score_delta,n_min,n_models,n_edges,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
choice_diversity,low_q25,50.0,10.0,10,21,201,524.6841083627734,153.0610632349346,677.7451715977081,0.2258386627441555
choice_diversity,low_q25,50.0,10.0,25,20,52,149.17186323333897,21.423873574050496,170.59573680738964,0.12558270197712518
choice_diversity,low_q25,50.0,10.0,50,0,0,,,,
choice_diversity,low_q25,50.0,10.0,100,0,0,,,,
choice_creativity,high_q75,83.0,0.0,10,21,199,688.055284188943,129.90764128657867,817.962925475522,0.1588184956073125
choice_creativity,high_q75,83.0,0.0,25,20,76,269.2764709977339,41.44848897378063,310.72495997151464,0.1333928532087682
choice_creativity,high_q75,83.0,0.0,50,0,0,,,,
choice_creativity,high_q75,83.0,0.0,100,0,0,,,,
choice_creativity,high_q75,83.0,2.0,10,21,198,693.5284262811058,128.90869632752077,822.4371226086269,0.15673988051347307
choice_creativity,high_q75,83.0,2.0,25,20,69,250.28037736326277,41.67729503105029,291.9576723943133,0.142751155293366
choice_creativity,high_q75,83.0,2.0,50,0,0,,,,
choice_creativity,high_q75,83.0,2.0,100,0,0,,,,
choice_creativity,high_q75,83.0,5.0,10,21,194,704.0835373765406,129.01547787087537,833.099015247416,0.15486211783909024
choice_creativity,high_q75,83.0,5.0,25,19,56,217.39938122008664,32.66173339708924,250.06111461717606,0.13061500364457623
choice_creativity,high_q75,83.0,5.0,50,0,0,,,,
choice_creativity,high_q75,83.0,5.0,100,0,0,,,,
choice_creativity,high_q75,83.0,10.0,10,21,190,689.2684598142276,127.29922450838939,816.5676843226158,0.1558954964204719
choice_creativity,high_q75,83.0,10.0,25,17,31,145.19302812662252,9.98049887618124,155.173527002804,0.06431830911467838
choice_creativity,high_q75,83.0,10.0,50,0,0,,,,
choice_creativity,high_q75,83.0,10.0,100,0,0,,,,
choice_creativity,low_q25,49.0,0.0,10,21,195,584.3249513954245,149.24226830378285,733.5672196992076,0.20344729739283912
choice_creativity,low_q25,49.0,0.0,25,19,77,187.24202097378137,49.44493742531522,236.6869583990968,0.2089043594110587
choice_creativity,low_q25,49.0,0.0,50,0,0,,,,
choice_creativity,low_q25,49.0,0.0,100,0,0,,,,
choice_creativity,low_q25,49.0,2.0,10,21,194,588.9267431139378,153.69009399751306,742.6168371114513,0.2069574595094285
choice_creativity,low_q25,49.0,2.0,25,18,61,173.39602611109666,37.059725699309595,210.45575181040613,0.17609271963588669
choice_creativity,low_q25,49.0,2.0,50,0,0,,,,
choice_creativity,low_q25,49.0,2.0,100,0,0,,,,
choice_creativity,low_q25,48.0,5.0,10,21,193,592.947876971408,160.03837007335284,752.9862470447607,0.21253823785155995
choice_creativity,low_q25,48.0,5.0,25,18,49,142.4820863525105,23.235514397286376,165.71760074979696,0.14021150615357822
choice_creativity,low_q25,48.0,5.0,50,0,0,,,,
choice_creativity,low_q25,48.0,5.0,100,0,0,,,,
choice_creativity,low_q25,48.0,10.0,10,21,189,599.8603523837444,148.48314134678174,748.343493730526,0.1984157577245532
choice_creativity,low_q25,48.0,10.0,25,18,36,127.13275637922568,7.097391523431815,134.23014790265762,0.05287479477843363
choice_creativity,low_q25,48.0,10.0,50,0,0,,,,
choice_creativity,low_q25,48.0,10.0,100,0,0,,,,
choice_helpfulness,high_q75,100.0,0.0,10,21,202,1140.8915859226902,142.9919670954398,1283.883553018131,0.11137456100227844
choice_helpfulness,high_q75,100.0,0.0,25,21,126,754.3218983904741,81.78928657603191,836.1111849665061,0.09782106500501882
choice_helpfulness,high_q75,100.0,0.0,50,7,5,49.73214234895709,4.924448793402611e-29,49.732142348957005,9.901943815026274e-31
choice_helpfulness,high_q75,100.0,0.0,100,0,0,,,,
choice_helpfulness,high_q75,100.0,2.0,10,21,201,1139.4774040951465,140.36722989727863,1279.8446339924271,0.10967521070069915
choice_helpfulness,high_q75,100.0,2.0,25,21,119,724.2939273563034,80.53251119730695,804.82643855361,0.10006196036754901
choice_helpfulness,high_q75,100.0,2.0,50,6,4,44.98601809954747,1.1649565047609512e-29,44.98601809954751,2.589596843586094e-31
