rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
51,20,83,118,3,0.025423728813559324,0.007387601886226542,0.002462533962075514,657.5278381906525,96.3477078738722,753.8755460645235,0.12780320090874242
52,20,86,163,10,0.06134969325153374,0.02758476383726177,0.0027584763837261764,634.5585287762045,112.87116500344402,747.4296937796478,0.15101241754615108
53,20,82,123,5,0.04065040650406504,0.017423741130715945,0.003484748226143189,656.9835246820671,102.380249835015,759.363774517081,0.1348237212133591
54,20,71,74,4,0.05405405405405406,0.05953438467557833,0.014883596168894581,600.9907702608592,105.43575445590794,706.4265247167688,0.14925225875144035
55,20,82,126,2,0.015873015873015872,0.012814067112709647,0.006407033556354824,536.9644550943666,112.40669429146513,649.3711493858319,0.1731008444058196
56,20,70,85,3,0.03529411764705882,0.02610519624980137,0.008701732083267124,494.0657092884433,69.0722777199384,563.1379870083815,0.12265604401308192
57,21,96,209,20,0.09569377990430622,0.13997756499553468,0.006998878249776734,572.4852845203243,163.56073898486747,736.0460235051919,0.2222153693677468
58,20,86,143,8,0.055944055944055944,0.05944022043035579,0.0074300275537944735,635.9673434368977,93.26346727638638,729.2308107132851,0.1278929330826851
59,20,81,149,2,0.013422818791946308,0.016643230575085634,0.008321615287542817,666.3152832193409,92.08322981668017,758.3985130360203,0.12141799889355355
60,21,83,108,4,0.037037037037037035,0.01092985891417264,0.00273246472854316,409.7136222952874,85.78491370194546,495.4985359972322,0.17312849074174588
61,20,87,142,8,0.056338028169014086,0.08815635484475644,0.011019544355594555,630.6168293952719,129.23745972881895,759.8542891240899,0.17008189804099863
62,21,81,121,3,0.024793388429752067,0.006892715754614091,0.0022975719182046967,659.3917174336148,101.08346619734462,760.4751836309587,0.13292145276156458
63,21,85,152,7,0.046052631578947366,0.05566235474889971,0.00795176496412853,647.5814379309861,108.61942023367807,756.2008581646636,0.14363831918586115
64,20,87,131,6,0.04580152671755725,0.03683910172111179,0.006139850286851965,660.8925448969906,117.8133948705136,778.7059397675048,0.15129381818467788
65,20,90,155,7,0.04516129032258064,0.09543231266712619,0.01363318752387517,538.9931333349987,109.61096458101093,648.6040979160078,0.16899517738663009
66,20,87,150,8,0.05333333333333334,0.021081722295929566,0.0026352152869911958,573.0469556808481,101.75648466436544,674.8034403452133,0.15079425886197212
67,20,96,177,7,0.03954802259887006,0.05448748697362728,0.007783926710518182,672.4062533707274,128.24612264335872,800.652376014086,0.16017703373567763
68,20,70,95,4,0.042105263157894736,0.15562988885504098,0.03890747221376025,580.2815291266531,84.06605690517625,664.3475860318296,0.1265392675049903
69,20,92,168,13,0.07738095238095238,0.03772222925100654,0.0029017099423851176,508.3622434370684,100.29568734583054,608.6579307828995,0.1647816980168533
70,20,84,126,14,0.1111111111111111,0.16514734041488296,0.011796238601063066,518.982564686069,102.9633411526536,621.945905838723,0.16555031584909743
71,21,89,161,6,0.037267080745341616,0.09521735999821007,0.015869559999701677,639.4944748406217,99.95460481372156,739.4490796543433,0.1351744258853436
72,20,82,118,6,0.05084745762711865,0.02291920928665901,0.0038198682144431687,557.7068368035183,104.45507993190428,662.1619167354213,0.15774854652905262
73,20,83,124,8,0.06451612903225806,0.07818488896265799,0.009773111120332249,510.28746395681,109.40898156875572,619.6964455255658,0.17655254013271893
74,20,91,183,2,0.01092896174863388,0.04401480872069108,0.02200740436034554,542.6238497153855,128.63138983750855,671.2552395528946,0.1916281352577397
75,20,86,159,8,0.050314465408805034,0.11315056249943428,0.014143820312429285,581.3599084020259,94.17988524416214,675.5397936461876,0.1394142671238234
76,20,73,94,2,0.02127659574468085,0.0073740717048095625,0.0036870358524047813,555.3925977024494,81.82133580287356,637.2139335053217,0.12840481273341495
77,21,77,107,3,0.028037383177570093,0.008131857537630034,0.002710619179210011,541.1720976080576,92.4278399198389,633.5999375278969,0.14587728698405905
78,20,83,126,3,0.023809523809523808,0.0022770780353279425,0.0007590260117759808,605.2001889994054,108.4313003131401,713.631489312547,0.15194298729389555
