rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
103,21,210,1330,43,0.032330827067669175,0.03522015533702545,0.0008190733799308245,5735.645710622167,413.18148335215784,6148.82719397433,0.06719679547297468
104,21,210,1330,23,0.017293233082706767,0.036643069117977385,0.0015931769181729298,5337.841432724243,450.3420794708809,5788.183512195126,0.07780369757144966
105,21,210,1330,39,0.029323308270676692,0.04471820638186685,0.0011466206764581244,5392.224078953892,409.70779940615955,5801.931878360052,0.07061575488920868
106,21,210,1330,38,0.02857142857142857,0.04613678136516164,0.0012141258253989904,5385.333177331915,377.14836220782513,5762.481539539747,0.06544894931462951
107,21,210,1330,36,0.02706766917293233,0.021984817812583327,0.0006106893836828702,5451.260194240591,339.647978171431,5790.9081724120215,0.05865193645955558
108,21,210,1330,34,0.02556390977443609,0.02600695234281278,0.0007649103630239054,5283.7867693665185,395.8543371814468,5679.641106547968,0.06969706883857021
109,21,210,1330,28,0.021052631578947368,0.02540664311740691,0.0009073801113359611,5435.260818574197,379.3046564285984,5814.565475002802,0.0652335343129687
110,21,210,1330,44,0.03308270676691729,0.05080410963202455,0.0011546388552732853,5459.07334309993,423.7152847684081,5882.788627868331,0.07202626366025737
111,21,210,1330,28,0.021052631578947368,0.029735463854401862,0.0010619808519429237,5382.737461986217,403.7931128718638,5786.530574858085,0.06978155695336784
112,21,210,1330,28,0.021052631578947368,0.01984503103741241,0.0007087511084790146,5561.737558165721,382.14079190086636,5943.878350066584,0.06429148939371977
113,21,210,1330,41,0.030827067669172932,0.020088738206791676,0.0004899692245558946,5699.358166721525,372.6006735822251,6071.958840303745,0.06136416325964193
114,21,210,1330,25,0.018796992481203006,0.015716310228278525,0.0006286524091311411,5428.507727770089,361.6509345538732,5790.158662323967,0.06245958973578785
115,21,210,1330,37,0.027819548872180452,0.041668351360278334,0.0011261716583859012,5612.785309040906,386.4089698880091,5999.19427892891,0.06441014441642623
